description, isdog
"<p>A canine yawns in Yellowstone National Park.</p>", 1
"Community guide Etienne Miandriarison.", 0
"Red-bellied lemur in Maromiziha Reserve.", 0
"Boats docked at a village settlement on Nosy Ankao.", 0
"One of the luxury villas at Miavana by Time + Tide.", 0
"An excursion around Nosy Ankao in a traditional wooden sailing boat.", 0
"An aerial view of the Flinders Ranges shows a 4x4 vehicle descending the rocky side of a small hill among ranges.", 0
"<p>A rare sighting of African wild dogs in Botswana.</p>", 0
"The ancient imprint of an Ediacaran fossil shows the species' circular shape and series of ridges that covered its surface.", 0
"An aerial view of the new visitor center among the desert landscape of South Australia.", 0
"A person surfing in Noosa National Park, Australia.", 0
"Aerial view of the historic city centre of Cartagena, Colombia.", 0
"Boats on the water at Camel Estuary in Cornwall, hills in the background.", 0
"<p>A rain wolf leaves a footprint on a wet, sandy beach in British Columbia.</p>", 0
"blurry photograph of Mars surface with dark spots.", 0
"man in blue bodysuits and face cover holding an orange cylinder.", 0
"spherical device.", 0
"Picture from above of laboratory full of equepments, people in white and rover in the center.", 0
"white camera on complex stand.", 0
"Illustrations of two views of Mars when wet, warm and cool.", 0
"of small device with six wheels", 0
"<p>Rain wolves pause in their hunting ground.</p>", 1
"mosaic image of rover from above.", 0
"Mars rover on light-brown rocky surface.", 0
"sand dunes.", 0
"landscape.", 0
"hi-quality panoramic photo of the landscape.", 0
"woman stretching her hands to one of two computer monitors with the rover on them.", 0
"two men setting up the cameras in desert.", 0
"How these 1930s maps left some neighborhoods with fewer trees", 0
"Why a whale's world is a world of sound", 0
"Behind the Scenes of Our January 2021 Special Issue, ‘2020: The Year in Pictures’", 0
"The Making of a Photograph: Commitment March", 0
"Tales of the Giant", 1
"Discover how conservationists are reintroducing extinct wildlife in Iberá National Park", 0
"blurry photograph of Mars surface with dark spots.", 0
"man in blue bodysuits and face cover holding an orange cylinder.", 0
"spherical device.", 0
"Picture from above of laboratory full of equepments, people in white and rover in the center.", 0
"white camera on complex stand.", 0
"Illustrations of two views of Mars when wet, warm and cool.", 0
"of small device with six wheels", 0
"mosaic image of rover from above.", 0
"Mars rover on light-brown rocky surface.", 0
"sand dunes.", 0
"landscape.", 0
"hi-quality panoramic photo of the landscape.", 0
"woman stretching her hands to one of two computer monitors with the rover on them.", 0
"two men setting up the cameras in desert.", 0
"embryo on dark blue backgraund", 0
"green fluorescence dots on black background.", 0
"skull on foreground and full human skeleton on background.", 0
"man holding photograph of capsule.", 0
"human brain on black background.", 0
"woman in white coat with image of a human embryo projected on her and wall.", 0
"blue, green and pink blob.", 0
"pregnant woman and projected image of human fetus.", 0
"human lungs preserved in clear glass container.", 0
"bat specimen.", 0
"pangolin specimen.", 0
"complex inner workings of an electron microscope.", 0
"tall stand with computer monitor with viruses images on it.", 0
"colorful structure looking like a tree.", 0
"How these 1930s maps left some neighborhoods with fewer trees", 0
"This photo was submitted to Your Shot, our photo community on Instagram. Follow us on Instagram at @natgeoyourshot or visit us at natgeo.com/yourshot for the latest submissions and news about the community.", 1
"Why a whale's world is a world of sound", 0
"Behind the Scenes of Our January 2021 Special Issue, ‘2020: The Year in Pictures’", 0
"The Making of a Photograph: Commitment March", 0
"Tales of the Giant", 1
"Discover how conservationists are reintroducing extinct wildlife in Iberá National Park", 0
"embryo on dark blue backgraund", 0
"green fluorescence dots on black background.", 0
"skull on foreground and full human skeleton on background.", 0
"man holding photograph of capsule.", 0
"human brain on black background.", 0
"woman in white coat with image of a human embryo projected on her and wall.", 0
"blue, green and pink blob.", 0
"pregnant woman and projected image of human fetus.", 0
"human lungs preserved in clear glass container.", 0
"bat specimen.", 0
"pangolin specimen.", 0
"complex inner workings of an electron microscope.", 0
"tall stand with computer monitor with viruses images on it.", 0
"A Mexican wolf (<i>Canis lupus baileyi</i>), a subspecies of gray wolf, photographed at Wild Canid Survival and Research Center in St. Louis, Missouri", 0
"colorful structure looking like a tree.", 0
"three greyhounds racing", 1
"the front of Derby Lane", 0
"a group of greyhounds dispersed in a closure with sand", 1
"a tub filled with meat and rice", 0
"a man rubbing the hind legs of a greyhound", 1
"the profile of a greyhound", 1
"<p>In 1950, thousands of fans would gather at Derby Lane to watch the races from the grandstands.</p>", 0
"A gray wolf photographed at New York State Zoo in Watertown", 1
"<p>Uniformed monkeys ride greyhounds around a track in Culver City, California, in 1932.</p>", 0
"<p>Throughout the 1920s and 1930s, a number of tracks had monkey “jockeys.”</p>", 1
"<p>R.L. “Tex” Block, an owner and trainer, stands in front of the Derby Club in 1970 with seven of his dogs. </p>
", 0
"<p>Kitty Wilkerson, the 1969 Festival of States “sungoddess,” stands with L.B.’s Dallas, the winner of the festival’s all-ages championship race.</p>", 1
"<p>Owner and trainer Jeanette Eagan ran dogs at Derby Lane from 1925 to 1980. She’s pictured here with Eagan’s Stephen, Eagen’s Maestro, and Rum Dum.</p>", 1
"a woman sitting with her dog on his bed", 1
"a dog in a sunroom", 1
"a computer screen showing the race finishing line", 0
"a man holding two greyhound medals in his hands", 0
"a magnifying glass over an old black and white photograph of a greyhound", 1
"a baby being placed onto of a greyhound on the beach", 1
"a group of greyhound playing in the ocean water", 1
"three greyhounds racing", 1
"the front of Derby Lane", 0
"a group of greyhounds dispersed in a closure with sand", 1
"a tub filled with meat and rice", 0
"a man rubbing the hind legs of a greyhound", 1
"the profile of a greyhound", 1
"<p>In 1950, thousands of fans would gather at Derby Lane to watch the races from the grandstands.</p>", 0
"<p>Uniformed monkeys ride greyhounds around a track in Culver City, California, in 1932.</p>", 0
"<p>Throughout the 1920s and 1930s, a number of tracks had monkey “jockeys.”</p>", 1
"<p>R.L. “Tex” Block, an owner and trainer, stands in front of the Derby Club in 1970 with seven of his dogs. </p>
", 0
"<p>Kitty Wilkerson, the 1969 Festival of States “sungoddess,” stands with L.B.’s Dallas, the winner of the festival’s all-ages championship race.</p>", 1
"<p>Owner and trainer Jeanette Eagan ran dogs at Derby Lane from 1925 to 1980. She’s pictured here with Eagan’s Stephen, Eagen’s Maestro, and Rum Dum.</p>", 1
"a woman sitting with her dog on his bed", 1
"a dog in a sunroom", 1
"a team of sled dogs on the herbert glacier", 1
"a computer screen showing the race finishing line", 0
"a man holding two greyhound medals in his hands", 0
"a magnifying glass over an old black and white photograph of a greyhound", 1
"a baby being placed onto of a greyhound on the beach", 1
"a group of greyhound playing in the ocean water", 1
"old painting depicting man in armor and naked woman.", 0
"longleged creature working over river and shooting guns.", 0
"planet surface marked with lines and names.", 0
"<p>Inuit people and their dogs travel by sledge. The photo was first published in&nbsp;<i>Northward Over the Great Ice</i>, explorer Robert E. Peary’s 1898 account of his trips to Greenland. In 1909, he became&nbsp;<a href="http://news.nationalgeographic.com/2016/02/160224-polar-explorer-matthew-henson-photos/">one of the first</a>&nbsp;to reach the North Pole.</p>", 1
"movie poster with insect-like creature flyings toward Earth.", 0
"tall preacher shaking hands with human.", 0
"movie poster.", 0
"blurry photo in reddish color with dark spots.", 0
"b&W blurry photo of planet surface.", 0
"painting of vegetation on Mars.", 0
"hi-res b&w photo of Mars surface with visible part part of rover", 0
"man in space suit sitting on send.", 0
"silver rocket vertical on the ground under blue sky.", 0
"<p>Doctor Seymour Armstrong travels by sled to answer a sick call in Labrador, Canada. The photo appeared in a 1910 issue of&nbsp;<i>National Geographic</i>.</p>", 1
"How these 1930s maps left some neighborhoods with fewer trees", 0
"Why a whale's world is a world of sound", 0
"Behind the Scenes of Our January 2021 Special Issue, ‘2020: The Year in Pictures’", 0
"The Making of a Photograph: Commitment March", 0
"Tales of the Giant", 1
"Discover how conservationists are reintroducing extinct wildlife in Iberá National Park", 0
"old painting depicting man in armor and naked woman.", 0
"<p>A driver poses with a dog team in this photo from a 1919 issue of&nbsp;<i>National Geographic</i>&nbsp;(location unknown).</p>", 0
"longleged creature working over river and shooting guns.", 0
"planet surface marked with lines and names.", 0
"movie poster with insect-like creature flyings toward Earth.", 0
"tall preacher shaking hands with human.", 0
"movie poster.", 0
"blurry photo in reddish color with dark spots.", 0
"b&W blurry photo of planet surface.", 0
"painting of vegetation on Mars.", 0
"hi-res b&w photo of Mars surface with visible part part of rover", 0
"man in space suit sitting on send.", 0
"This photo was submitted to Your Shot, our photo community on Instagram. Follow us on Instagram at @natgeoyourshot or visit us at natgeo.com/yourshot for the latest submissions and news about the community.", 1
"<p>In 1908, explorer Robert E. Peary set sail for the North Pole with 246 dogs. “I shall never forget the frightful noise, the choking stench and the terrible confusion,” wrote the ship’s captain, Bob Bartlett.</p>", 0
"silver rocket vertical on the ground under blue sky.", 0
"blurry photograph of Mars surface with dark spots.", 0
"man in blue bodysuits and face cover holding an orange cylinder.", 0
"spherical device.", 0
"Picture from above of laboratory full of equepments, people in white and rover in the center.", 0
"white camera on complex stand.", 0
"<p>A woman drives her team through Nome, Alaska, in this photo from a 1919 issue of&nbsp;<i>National Geographic</i>.</p>", 0
"Illustrations of two views of Mars when wet, warm and cool.", 0
"of small device with six wheels", 0
"mosaic image of rover from above.", 0
"Mars rover on light-brown rocky surface.", 0
"sand dunes.", 0
"landscape.", 0
"hi-quality panoramic photo of the landscape.", 0
"woman stretching her hands to one of two computer monitors with the rover on them.", 0
"two men setting up the cameras in desert.", 0
"<p>Supply officer George Black playfully harnesses puppies to a tiny sledge just days after they were born. The photo appeared in&nbsp;<i>National Geographic</i>’s 1930 article about explorer Richard E. Byrd’s first Antarctic expedition.</p>", 0
"How these 1930s maps left some neighborhoods with fewer trees", 0
"Why a whale's world is a world of sound", 0
"Behind the Scenes of Our January 2021 Special Issue, ‘2020: The Year in Pictures’", 0
"The Making of a Photograph: Commitment March", 0
"Tales of the Giant", 1
"Discover how conservationists are reintroducing extinct wildlife in Iberá National Park", 0
"blurry photograph of Mars surface with dark spots.", 0
"<p>Captain Robert Scott took a gramophone on his South Pole expedition to entertain his men, but it looks like his dog Chris liked it too. The photo was taken in Antarctica around 1911.</p>", 1
"man in blue bodysuits and face cover holding an orange cylinder.", 0
"spherical device.", 0
"Picture from above of laboratory full of equepments, people in white and rover in the center.", 0
"white camera on complex stand.", 0
"Illustrations of two views of Mars when wet, warm and cool.", 0
"of small device with six wheels", 0
"mosaic image of rover from above.", 0
"Mars rover on light-brown rocky surface.", 0
"sand dunes.", 0
"landscape.", 0
"<p>A small dog team pushes ahead on the inland ice cap of Greenland. The photo was first published in&nbsp;<i>Northward Over the Great Ice</i>, explorer Robert E. Peary’s account of his trips to Greenland in the 1880s and '90s.</p>", 1
"hi-quality panoramic photo of the landscape.", 0
"woman stretching her hands to one of two computer monitors with the rover on them.", 0
"two men setting up the cameras in desert.", 0
"embryo on dark blue backgraund", 0
"green fluorescence dots on black background.", 0
"skull on foreground and full human skeleton on background.", 0
"man holding photograph of capsule.", 0
"human brain on black background.", 0
"woman in white coat with image of a human embryo projected on her and wall.", 0
"blue, green and pink blob.", 0
"pregnant woman and projected image of human fetus.", 0
"human lungs preserved in clear glass container.", 0
"bat specimen.", 0
"pangolin specimen.", 0
"complex inner workings of an electron microscope.", 0
"tall stand with computer monitor with viruses images on it.", 0
"colorful structure looking like a tree.", 0
"How these 1930s maps left some neighborhoods with fewer trees", 0
"Why a whale's world is a world of sound", 0
"Behind the Scenes of Our January 2021 Special Issue, ‘2020: The Year in Pictures’", 0
"The Making of a Photograph: Commitment March", 0
"Tales of the Giant", 1
"Discover how conservationists are reintroducing extinct wildlife in Iberá National Park", 0
"embryo on dark blue backgraund", 0
"a team of sled dogs on the herbert glacier", 1
"green fluorescence dots on black background.", 0
"skull on foreground and full human skeleton on background.", 0
"man holding photograph of capsule.", 0
"human brain on black background.", 0
"woman in white coat with image of a human embryo projected on her and wall.", 0
"blue, green and pink blob.", 0
"pregnant woman and projected image of human fetus.", 0
"human lungs preserved in clear glass container.", 0
"bat specimen.", 0
"pangolin specimen.", 0
"<p>Inuit people and their dogs travel by sledge. The photo was first published in&nbsp;<i>Northward Over the Great Ice</i>, explorer Robert E. Peary’s 1898 account of his trips to Greenland. In 1909, he became&nbsp;<a href="http://news.nationalgeographic.com/2016/02/160224-polar-explorer-matthew-henson-photos/">one of the first</a>&nbsp;to reach the North Pole.</p>", 1
"complex inner workings of an electron microscope.", 0
"tall stand with computer monitor with viruses images on it.", 0
"colorful structure looking like a tree.", 0
"three greyhounds racing", 1
"the front of Derby Lane", 0
"a group of greyhounds dispersed in a closure with sand", 1
"a tub filled with meat and rice", 0
"a man rubbing the hind legs of a greyhound", 1
"<p>Doctor Seymour Armstrong travels by sled to answer a sick call in Labrador, Canada. The photo appeared in a 1910 issue of&nbsp;<i>National Geographic</i>.</p>", 1
"the profile of a greyhound", 1
"<p>In 1950, thousands of fans would gather at Derby Lane to watch the races from the grandstands.</p>", 0
"<p>Uniformed monkeys ride greyhounds around a track in Culver City, California, in 1932.</p>", 0
"<p>Throughout the 1920s and 1930s, a number of tracks had monkey “jockeys.”</p>", 1
"<p>R.L. “Tex” Block, an owner and trainer, stands in front of the Derby Club in 1970 with seven of his dogs. </p>
", 0
"<p>Kitty Wilkerson, the 1969 Festival of States “sungoddess,” stands with L.B.’s Dallas, the winner of the festival’s all-ages championship race.</p>", 1
"<p>Owner and trainer Jeanette Eagan ran dogs at Derby Lane from 1925 to 1980. She’s pictured here with Eagan’s Stephen, Eagen’s Maestro, and Rum Dum.</p>", 1
"a woman sitting with her dog on his bed", 1
"a dog in a sunroom", 1
"a computer screen showing the race finishing line", 0
"This photo was submitted to Your Shot, our photo community on Instagram. Follow us on Instagram at @natgeoyourshot or visit us at natgeo.com/yourshot for the latest submissions and news about the community.", 1
"<p>A driver poses with a dog team in this photo from a 1919 issue of&nbsp;<i>National Geographic</i>&nbsp;(location unknown).</p>", 0
"a man holding two greyhound medals in his hands", 0
"a magnifying glass over an old black and white photograph of a greyhound", 1
"a baby being placed onto of a greyhound on the beach", 1
"a group of greyhound playing in the ocean water", 1
"three greyhounds racing", 1
"the front of Derby Lane", 0
"<p>In 1908, explorer Robert E. Peary set sail for the North Pole with 246 dogs. “I shall never forget the frightful noise, the choking stench and the terrible confusion,” wrote the ship’s captain, Bob Bartlett.</p>", 0
"a group of greyhounds dispersed in a closure with sand", 1
"a tub filled with meat and rice", 0
"a man rubbing the hind legs of a greyhound", 1
"the profile of a greyhound", 1
"<p>In 1950, thousands of fans would gather at Derby Lane to watch the races from the grandstands.</p>", 0
"<p>Uniformed monkeys ride greyhounds around a track in Culver City, California, in 1932.</p>", 0
"<p>Throughout the 1920s and 1930s, a number of tracks had monkey “jockeys.”</p>", 1
"<p>R.L. “Tex” Block, an owner and trainer, stands in front of the Derby Club in 1970 with seven of his dogs. </p>
", 0
"<p>Kitty Wilkerson, the 1969 Festival of States “sungoddess,” stands with L.B.’s Dallas, the winner of the festival’s all-ages championship race.</p>", 1
"<p>Owner and trainer Jeanette Eagan ran dogs at Derby Lane from 1925 to 1980. She’s pictured here with Eagan’s Stephen, Eagen’s Maestro, and Rum Dum.</p>", 1
"<p>A woman drives her team through Nome, Alaska, in this photo from a 1919 issue of&nbsp;<i>National Geographic</i>.</p>", 0
"a woman sitting with her dog on his bed", 1
"a dog in a sunroom", 1
"a computer screen showing the race finishing line", 0
"a man holding two greyhound medals in his hands", 0
"a magnifying glass over an old black and white photograph of a greyhound", 1
"a baby being placed onto of a greyhound on the beach", 1
"a group of greyhound playing in the ocean water", 1
"old painting depicting man in armor and naked woman.", 0
"<p>Supply officer George Black playfully harnesses puppies to a tiny sledge just days after they were born. The photo appeared in&nbsp;<i>National Geographic</i>’s 1930 article about explorer Richard E. Byrd’s first Antarctic expedition.</p>", 0
"longleged creature working over river and shooting guns.", 0
"planet surface marked with lines and names.", 0
"movie poster with insect-like creature flyings toward Earth.", 0
"tall preacher shaking hands with human.", 0
"movie poster.", 0
"blurry photo in reddish color with dark spots.", 0
"b&W blurry photo of planet surface.", 0
"painting of vegetation on Mars.", 0
"hi-res b&w photo of Mars surface with visible part part of rover", 0
"man in space suit sitting on send.", 0
"<p>Captain Robert Scott took a gramophone on his South Pole expedition to entertain his men, but it looks like his dog Chris liked it too. The photo was taken in Antarctica around 1911.</p>", 1
"silver rocket vertical on the ground under blue sky.", 0
"How these 1930s maps left some neighborhoods with fewer trees", 0
"Why a whale's world is a world of sound", 0
"Behind the Scenes of Our January 2021 Special Issue, ‘2020: The Year in Pictures’", 0
"The Making of a Photograph: Commitment March", 0
"Tales of the Giant", 1
"Discover how conservationists are reintroducing extinct wildlife in Iberá National Park", 0
"<p>A small dog team pushes ahead on the inland ice cap of Greenland. The photo was first published in&nbsp;<i>Northward Over the Great Ice</i>, explorer Robert E. Peary’s account of his trips to Greenland in the 1880s and '90s.</p>", 1
"old painting depicting man in armor and naked woman.", 0
"longleged creature working over river and shooting guns.", 0
"planet surface marked with lines and names.", 0
"movie poster with insect-like creature flyings toward Earth.", 0
"tall preacher shaking hands with human.", 0
"movie poster.", 0
"blurry photo in reddish color with dark spots.", 0
"b&W blurry photo of planet surface.", 0
"painting of vegetation on Mars.", 0
"hi-res b&w photo of Mars surface with visible part part of rover", 0
"man in space suit sitting on send.", 0
"silver rocket vertical on the ground under blue sky.", 0
"blurry photograph of Mars surface with dark spots.", 0
"man in blue bodysuits and face cover holding an orange cylinder.", 0
"spherical device.", 0
"Picture from above of laboratory full of equepments, people in white and rover in the center.", 0
"white camera on complex stand.", 0
"Illustrations of two views of Mars when wet, warm and cool.", 0
"of small device with six wheels", 0
"mosaic image of rover from above.", 0
"Mars rover on light-brown rocky surface.", 0
"sand dunes.", 0
"landscape.", 0
"hi-quality panoramic photo of the landscape.", 0
"woman stretching her hands to one of two computer monitors with the rover on them.", 0
"Komodo dragon in the wild sticking its head up with its tongue out.", 0
"two men setting up the cameras in desert.", 0
"How these 1930s maps left some neighborhoods with fewer trees", 0
"Why a whale's world is a world of sound", 0
"Behind the Scenes of Our January 2021 Special Issue, ‘2020: The Year in Pictures’", 0
"The Making of a Photograph: Commitment March", 0
"Tales of the Giant", 1
"Discover how conservationists are reintroducing extinct wildlife in Iberá National Park", 0
"blurry photograph of Mars surface with dark spots.", 0
"man in blue bodysuits and face cover holding an orange cylinder.", 0
"spherical device.", 0
"Picture from above of laboratory full of equepments, people in white and rover in the center.", 0
"white camera on complex stand.", 0
"Illustrations of two views of Mars when wet, warm and cool.", 0
"of small device with six wheels", 0
"mosaic image of rover from above.", 0
"Mars rover on light-brown rocky surface.", 0
"This photo was submitted to Your Shot, our photo community on Instagram. Follow us on Instagram at @natgeoyourshot or visit us at natgeo.com/yourshot for the latest submissions and news about the community.", 1
"O Milionário Do Vitória Revela: Como Fazer Dinheiro Trabalhando De Casa", 0
"sand dunes.", 0
"landscape.", 0
"hi-quality panoramic photo of the landscape.", 0
"woman stretching her hands to one of two computer monitors with the rover on them.", 0
"two men setting up the cameras in desert.", 0
"embryo on dark blue backgraund", 0
"green fluorescence dots on black background.", 0
"skull on foreground and full human skeleton on background.", 0
"Queime A Gordura Abdominal Com Uma Xícara Por Dia. Experimente Agora", 0
"man holding photograph of capsule.", 0
"human brain on black background.", 0
"woman in white coat with image of a human embryo projected on her and wall.", 0
"blue, green and pink blob.", 0
"pregnant woman and projected image of human fetus.", 0
"human lungs preserved in clear glass container.", 0
"bat specimen.", 0
"pangolin specimen.", 0
"complex inner workings of an electron microscope.", 0
"tall stand with computer monitor with viruses images on it.", 0
"Queime a Gordura Abdominal Com Uma Goma Por Dia. Experimente Agora", 0
"colorful structure looking like a tree.", 0
"How these 1930s maps left some neighborhoods with fewer trees", 0
"Why a whale's world is a world of sound", 0
"Behind the Scenes of Our January 2021 Special Issue, ‘2020: The Year in Pictures’", 0
"The Making of a Photograph: Commitment March", 0
"Tales of the Giant", 1
"Discover how conservationists are reintroducing extinct wildlife in Iberá National Park", 0
"Isso é O Que Os Implantes Dentários De Boca Cheia Devem Custar Em 2023", 0
"embryo on dark blue backgraund", 0
"green fluorescence dots on black background.", 0
"skull on foreground and full human skeleton on background.", 0
"man holding photograph of capsule.", 0
"human brain on black background.", 0
"woman in white coat with image of a human embryo projected on her and wall.", 0
"blue, green and pink blob.", 0
"pregnant woman and projected image of human fetus.", 0
"human lungs preserved in clear glass container.", 0
"Top 50 Amazing Beaches in the World", 0
"bat specimen.", 0
"pangolin specimen.", 0
"complex inner workings of an electron microscope.", 0
"tall stand with computer monitor with viruses images on it.", 0
"colorful structure looking like a tree.", 0
"three greyhounds racing", 1
"the front of Derby Lane", 0
"a group of greyhounds dispersed in a closure with sand", 1
"The World’s Leading Aircraft Are Painted in an Incredible Way", 0
"a tub filled with meat and rice", 0
"a man rubbing the hind legs of a greyhound", 1
"the profile of a greyhound", 1
"<p>In 1950, thousands of fans would gather at Derby Lane to watch the races from the grandstands.</p>", 0
"<p>Uniformed monkeys ride greyhounds around a track in Culver City, California, in 1932.</p>", 0
"<p>Throughout the 1920s and 1930s, a number of tracks had monkey “jockeys.”</p>", 1
"<p>R.L. “Tex” Block, an owner and trainer, stands in front of the Derby Club in 1970 with seven of his dogs. </p>
", 0
"<p>Kitty Wilkerson, the 1969 Festival of States “sungoddess,” stands with L.B.’s Dallas, the winner of the festival’s all-ages championship race.</p>", 1
"<p>Owner and trainer Jeanette Eagan ran dogs at Derby Lane from 1925 to 1980. She’s pictured here with Eagan’s Stephen, Eagen’s Maestro, and Rum Dum.</p>", 1
"a woman sitting with her dog on his bed", 1
"a dog in a sunroom", 1
"a computer screen showing the race finishing line", 0
"a man holding two greyhound medals in his hands", 0
"a magnifying glass over an old black and white photograph of a greyhound", 1
"a baby being placed onto of a greyhound on the beach", 1
"a group of greyhound playing in the ocean water", 1
"Actors Patrick Fugit and Kate Hudson in a scene from 'Almost Famous.'", 0
"three greyhounds racing", 1
"the front of Derby Lane", 0
"a group of greyhounds dispersed in a closure with sand", 1
"a tub filled with meat and rice", 0
"a man rubbing the hind legs of a greyhound", 1
"the profile of a greyhound", 1
"<p>In 1950, thousands of fans would gather at Derby Lane to watch the races from the grandstands.</p>", 0
"<p>Uniformed monkeys ride greyhounds around a track in Culver City, California, in 1932.</p>", 0
"<p>Throughout the 1920s and 1930s, a number of tracks had monkey “jockeys.”</p>", 1
"<p>R.L. “Tex” Block, an owner and trainer, stands in front of the Derby Club in 1970 with seven of his dogs. </p>
", 0
"Actor Sean Astin as the title character of the college football movie 'Rudy.'", 0
"<p>Kitty Wilkerson, the 1969 Festival of States “sungoddess,” stands with L.B.’s Dallas, the winner of the festival’s all-ages championship race.</p>", 1
"<p>Owner and trainer Jeanette Eagan ran dogs at Derby Lane from 1925 to 1980. She’s pictured here with Eagan’s Stephen, Eagen’s Maestro, and Rum Dum.</p>", 1
"a woman sitting with her dog on his bed", 1
"a dog in a sunroom", 1
"a computer screen showing the race finishing line", 0
"a man holding two greyhound medals in his hands", 0
"a magnifying glass over an old black and white photograph of a greyhound", 1
"a baby being placed onto of a greyhound on the beach", 1
"a group of greyhound playing in the ocean water", 1
"Actors Mariska Hargitay and Christopher Meloni filming on location for 'Law & Order: SVU' on the streets of Manhattan on Feb. 14, 2011 in New York City.", 0
"old painting depicting man in armor and naked woman.", 0
"longleged creature working over river and shooting guns.", 0
"planet surface marked with lines and names.", 0
"movie poster with insect-like creature flyings toward Earth.", 0
"tall preacher shaking hands with human.", 0
"movie poster.", 0
"blurry photo in reddish color with dark spots.", 0
"b&W blurry photo of planet surface.", 0
"painting of vegetation on Mars.", 0
